video,script,self-confidence,creativity,enthusiasm,future-orientation,trustworthiness,proactive-personality
92,"video92.mp4
 

 Speaker1: [00:00:02] I could definitely see myself eating quite a few of these.
 

 Speaker2: [00:00:06] Jessica started a ketogenic diet to improve her health. She loves that she can eat tasty food, but hates that she has little options when it comes to snacks and desserts. Some days she walks into a grocery store, only to be saddened and tempted as she stares down the aisles of ultra sugary, high carb cookies. She doesn't want to give in, but she craves something sweet.
 

 Speaker3: [00:00:27] I'm Chris and I'm Victor, and we felt the same pain when following our own low carb diets. We wanted a sweet treat we can enjoy anywhere, but we couldn't find any, and that's why we pulled out all of our savings to create Keto Cookie, the world's first ready to eat keto friendly cookie with less than one gram of net carbs and no added sugar, unlike sugar and gluten made cookies. Keto cookies are made with the finest ingredients almond flour, coconut and MCT oil, and organic pasture raised butter, and these are sweetened with natural sweeteners, which means you're not going to get any of that weird aftertaste. They're also wrapped in pears, so you can eat them on the go at work or at the gym. Keto cookies are gluten free, keto friendly, and great for diabetics.
 

 Speaker4: [00:01:13] It's really good. It's really soft, too.
 

 Speaker1: [00:01:17] In terms of texture. It's super, super creamy and fluffy at the same time. It's kind of amazing how it can do that both at the same time. I can imagine myself like.
 

 [00:01:25] Craving sweets all day and like wanting to go home and like eating this. It satisfies my sweet cravings.
 

 Speaker3: [00:01:31] So here's where we are today. We need $5,000 to help bring these amazing, life changing cookies to market. We're going to transform the way people look at low carb diets, and you are going to be a huge part of it. If you also love sweet treats, please support Keto Cookie today and start enjoying delicious low carb cookies.",62.68,7,8,2.04,5,10
93,"video93.mp4
 

 Speaker1: [00:00:01] Hi, I'm Kristen, I'm the creator of Boss Balls protein balls. So Boss Balls came to be when I was in my former career, I was a corporate traveler and I was traveling over 100 nights per year. The lifestyle caught up with me and I gained a bunch of weight. I hired a nutritionist and one of the best personal trainers in Miami, and I got to work. I come from a 20 year history of an eating disorder, where I have been bulimic since my teen years, and my weight got super low at one point. Once I started in my corporate career, my weight got super high. Once I started getting my nutrition under control and I started really getting into nutrition and learning a lot about what I needed to do in order to lose the fat that I wanted to lose. And I learned that I was not only not eating enough protein, but I was eating too much sugar. I needed to find a protein snack that I could take with me on the road to have in the airports and in the hotels, so that I wasn't running to the mini bar at night to grab the peanut M&Ms. I started looking for something that had really quality ingredients and was high protein, yet super low in sugar, and I couldn't find anything.
 

 Speaker1: [00:01:13] So that's when I decided to create it myself. And that's how boss bowls were born. When I started getting serious about nutrition and sticking to my fitness plan, the weight just started falling off. So within six months I lost £40 of fat. Not just weight, but fat. And my body completely started to change and along with it, my energy was up. I had my confidence back. I was feeling really great about myself, so I started making them for parties so that I could take something with me to make sure that I was staying on track. I then started giving them as gifts and the response was incredible. And it was then that I knew that I was on to something big. So I left my corporate job of ten years in order to grow the Boss Balls brand. What makes boss balls different nutritionally from other protein snacks out there is the ratio of protein to sugar, so each boss ball has between six and a half to seven grams of high quality protein, with less than one gram of sugar per ball. We started doing events all over the city of Miami.
 

 Speaker1: [00:02:21] We set up ten within a few week period at fitness facilities and gyms. Once we introduce boss balls to this demographic, we sold out at every single event that we did. The first week that we launched Boss Balls, it was incredible. We sold over 1000 boss balls to people all over the country. The orders were coming in faster than we could make them. Within the first month we sold over 5000. Okay, so we're ready to take boss balls to the next level. And that's why we're here, asking for your help. To do that, we're ready to take boss balls to production, to improve our packaging and our marketing in order to get us into major retailers and position us to have a presence at key industry trade shows. This journey that has led me to Boss Balls has truly changed my life. I really want to grow the brand and let many other people experience what Boss Balls can do for not only their nutrition, but their life in general. In joining the Boss Balls movement, I hope to be able to inspire you to reach your fullest potential and to handle your nutrition like a boss.",33.25,7,8,1.36,4,10
94,"video94.mp4
 

 Speaker1: [00:00:00] And so we're doing this Kickstarter because we know that everybody has their own personal mountain to climb, and we've come up with something pretty special. We've come up with these synergy bars. And the first ones have all the portable energy that Maria has tested and tried for physical and mental sustenance.
 

 Speaker2: [00:00:19] I climbed El Cap a few times now, and the challenge is always packing food with you that doesn't require a stove that is highly nutritious, tastes really good, so you're excited to eat it and has the right amount of calories to to fuel you up. Just really passionate about the fact that food is medicine. And how do we make food medicine? What does that look like? So I started delving into nutrition. Received a level one certification through Precision Nutrition just to find out more about how can we fuel our bodies in such a way where we're taking care of ourselves and we're healing ourselves and we're not you know, beating ourselves up or causing harm and actually creating more longevity. So to be able to put these bars out on the market and with that thought process in mind of it tasting delicious and trying to make sure that we're putting the right things in people's bodies, that's going to sustain them and give them longevity.
 

 [00:01:24] Would be a gift for us.",97.39,6,8,1.5,7,8
95,"video95.mp4
 

 Speaker1: [00:00:06] Last year, we launched enter with one mission to provide healthy and sustainable protein for the planet. Here's why. The world today faced many challenges, including food insecurity. The world population will increase to 10 billion people by 2050. This means that we must increase our current food production by 70%. But we cannot increase our food production without further depleting our resources. There are sustainable solutions to this problem, including reduced food wastage, more plant based diets, or consuming alternative protein sources. This is not a storage facility, nor a warehouse. Nope. This is where we farm one of the planet's most natural and sustainable food source. Crickets. Now, you probably have come across people eating crickets or other bugs on TV, but it turns out crickets are yummy. Still not convinced? Our crickets are highly nutritious. Our crickets have more protein than beef. More iron than kale. More dietary fiber than oatmeal, and much more. For me, crickets is also highly sustainable. It requires less water, land. Feed and emit fewer greenhouse gases. Now let's talk about how our delicious snacks are made. We slow roast our crickets under low heat, and we roast in small batches to ensure that it tastes delicious every single time. We then add our secret blend of spices and package it in recyclable kraft paper bags. The end result? We created three amazing flavors. Wondering how it tastes? Zion will show you.
 

 Speaker2: [00:02:21] Cricket snacks. You've probably seen it in Thailand before. Awesome.
 

 Speaker3: [00:02:26] Interesting. Yeah. Hello.
 

 Speaker4: [00:02:30] How is it? Good.
 

 Speaker2: [00:02:34] How is it?
 

 Speaker3: [00:02:36] Wow. It tastes like chicken.
 

 Speaker2: [00:02:38] Tastes like chicken.
 

 Speaker1: [00:02:42] Very crunchy.
 

 Speaker5: [00:02:43] Like chips and stuff like that. They actually don't taste like crickets. I think.
 

 Speaker6: [00:02:51] It's pretty good. I like what you guys are doing, man.
 

 Speaker2: [00:02:53] Yeah. Yeah. Awesome. Good.
 

 Speaker1: [00:02:56] Whether you're brand new to the Entomophagy movement or you're already an end to expert, we need your help. We're asking for $1,000 from the Kickstarter community to purchase some of these. To give you more of these. We've put together some awesome rewards just for you, including snack bundles, getting your name on our board, and merchandise. We cannot do this without your pledge. Spread the word to help share our video if you enjoyed it, let's make a change together.",92.29,7,9,0.44,6,10
96,"video96.mp4
 

 Speaker1: [00:00:13] Hi, I'm Gabriel Santiago and I'm the owner of Strong Monkey, custom flavored all natural and organic protein bars. I'll give you a second to let that sink in. That is right. Custom flavored, all natural and organic protein bars. It is what we do. It is what we do, right. It is as simple as this. You go online, you create your protein bar, we make your protein bar come to life. We ship it to your doorstep. It is as simple as one, two, three. You'll be doing something better for your healthy lifestyle, doing something better for your personal body. You'll even be doing something better for the community. Because Strong Monkey is a big supporter of Feeding America. Org, a charity and organization which helps feed those who do not have the means to feed themselves. A charity. An organization which is very has personal meaning in my life, and the reason why I try and associate Straw Monkey with Feeding America. Org. Now I have just about over eight years of experience working with restaurant owners in a variety of different chefs in the hospitality industry, and combining my experiences and the knowledge that I gained from my experiences, along with my passion for healthy eating, I was able to experiment with a variety of different protein bars and snacks using my roommates, friends, local people at the gym as taste testers. The word got out of this fantastic product, and now Straw Monkey is starting to grow day by day, going from a hobby to a concept to a business idea. And it's the reason why we are here on Kickstarter today asking for your support.
 

 Speaker1: [00:01:43] Your support will help us raise $10,000 to be able to bring Strong Monkey to Mr. Olympia, the world's largest fitness competition and health expo. Ever created. I don't even know how to describe it. With over 100,000 tickets already sold, 4 to 5 months to go to the expo, you can just imagine the opportunity for exposure that Strong Monkey has to continue growing and continue going on that path for success. And we want to bring you along with the ride for us. We want you to be co-creators of the this revolutionary concept. Your support will go into to raw materials, flying our packaging and labeling and taking care of the fee to obtain the booth at Mr. Olympia. Well, we do have a variety of fantastic limited rewards. Now, remember, they are limited. So if you do act quick, we do have super savers to help you get fantastic products at even a more discount rate. Again, strong monkeys continuing to grow every day and we know that if we get to Mr. Olympia, that is just going to skyrocket us to success. Don't you want to come along with the ride and be a part of Team Strong Monkey today? Of course you do. So go ahead, pick a reward. You have any questions? Feel free to contact me 24 over seven. I'll be more than happy to answer any questions that you have. And I want you to be a part of Team Strong Monkey and help be co-creators of this revolutionary concept. So check out the rewards. Pick one now go ahead right now and become part of Team Strong Monkey today. Thank you.",91.95,7,16,2.36,7,8
97,"video97.mp4
 

 Speaker1: [00:00:03] Bonjour a tous moi, c'est Colin. Moi, j'ai un projet pour la premiere patisserie d'innovation farine de grignan lors d'un startup weekend qui nous avons remporté j'ai rencontré une super équipe et surtout de mon associé. Notre ambition est de mettre le meilleur du futur dans des aujourd'hui. En un bouchée, nous vous proposent des gourmandes innovant avec tout le savoir faire de la petite francaise. Pourquoi les taux de protéine et de moins comparée et surtout de qualité nutritionnelle exceptionnelle? Aujourd'hui, nous avons besoin de vous pour lancer Notre premier gamme réaliser un packaging eco responsable de nous avec une premiere campagne de communication créé de l'emploi durable et apporter Notre Pierre a edifice du monde de demain pour Notre aventure, de Notre pack, de patisserie et pour les autour de vous.
 

 [00:01:09] Yes, we cake.",46.94,7,9,1.16,6,10
98,"video98.mp4
 

 Speaker1: [00:00:00] What if we told you you could have the most incredible Mediterranean vacation of your life simply by opening a bag of chips? Well, you can't, but we have the next best thing. Introducing Picasso, the Mediterranean chickpea chip. Let's rewind a little. Picasso was born from our fascination with the Mediterranean lifestyle. We dreamt of incorporating the sunny, stress free attitude into everyday life. So we decided to take a closer look. The first thing we noticed was that these folks loved to eat. And boy do they know how to please their taste buds. The second thing we noticed was that they all seemed to be in really great shape. How is that possible? It turns out it's not all that complicated. It starts with using simple ingredients like olive oil and chickpeas. Not to mention the fact that they always choose quality over quantity. Thousands of years of cooking experience sure do pay off, but how could we possibly integrate these ancient traditions and recipes into our everyday lives? Enter Picasso. We not only created a delicious, crispy Mediterranean chip. We developed a highly nutritious super snack, naturally packed with fiber and twice as much protein as potato or corn chips. And the best part is, you don't even have to be on a sunny beach or in a picturesque village to enjoy them. Picassa chips will keep you feeling full and energized anywhere your active life might take you. Thanks, chickpeas and thank you Mediterranean. So we might not be able to promise you a mediterranean vacation in a bag, but we can promise you that our chickpea chips will take your taste buds on the trip of a lifetime.
 

 Speaker2: [00:02:09] For the last year, we've been making chips by hand and selling them at farmers markets, but we haven't been able to keep up with demand. That's why we are so excited to bring Picasso Chickpea Chips to you on Kickstarter. As a backer of Picasso. You'll be helping us make our handcrafted chickpea chips into something we can scale and serve to anyone looking for a better snack. We're actually making chips in a brand new way, and we have to invest in specialty equipment so that we can make our chickpea chips with simple ingredients without having to add any additives or grains. Please support and share our campaign with your friends and family on social media to help us make this dream a reality. Thanks for checking us out and we can't wait to share Picasso Chickpea Chips with you!",98.77,7,18,1.95,4,8
99,"video99.mp4
 

 Speaker1: [00:00:00] It's that time of day you're craving something sweet and slightly indulgent. It's only natural. But you want something that's delicious, nutritious, not too filling and quick. Yeah, that was me too. So my mom did something about it. Introducing the Milk Chew, a not too sweet, chewy milk treat with benefits inspired by a traditional Asian treat. My mom grew up eating but 100% natural with less sugar and more vitamins. Just as my mom did in her kitchen, we make them with six simple, fresh and functional ingredients nothing artificial and no preservatives. The result is a chewy delight that tastes like candy but performs like a bar. That means, compared to one of the leading granola bars in America, we have more protein, more vitamins, and less calories and fat. Meanwhile, we have just enough sugar the same as that granola bar, by the way, and far less than that standard candy bar to satisfy that sweet tooth. Our shoes are popularly not too sweet because the main sweetener we use is maltose, a natural sweetener distilled from fermented grains that's 50% less sweet than table sugar. We source our maltose from China, where waste grains are used to produce it the traditional way, which was used since ancient times and preserves a higher content of iron and fiber. But what about taste? Milky. Creamy. Nutty. Complex.
 

 Speaker2: [00:01:22] Like many people have said, they never have something like this before.
 

 Speaker1: [00:01:27] That, or they say that. It reminds them of a of a favorite childhood candy. But healthy. And that's just our original flavor. We've been working on two exciting new flavors chocolate milk with peanuts and strawberry milk with real dried strawberries. Each chew is individually packaged and at only 55 calories each. They're perfect on the go as a pre post workout snack for travel for the little ones or at work. The name Numa comes from the Chinese characters for daughter and mother. Because our story started in my mother's kitchen and that is what we strive to honor in our snacks. We've come a long way from our first batch in our own kitchen, but we're just getting started. We need your help to reach more people and to expand our product lines and capacity.
 

 Speaker2: [00:02:13] Help us.
 

 Speaker1: [00:02:14] Help you.
 

 Speaker2: [00:02:15] Choose better for you.",84.71,7,16,0,,10
100,"video100.mp4
 

 Speaker1: [00:00:00] Sometimes it's the snacks we love dearly that hurt us the most. This can be a difficult truth to face and denial is a natural first reaction.
 

 [00:00:09] Fruits. Veggies. Veggies.
 

 Speaker1: [00:00:16] Then comes anger.
 

 Speaker2: [00:00:19] Empty calories.
 

 Speaker1: [00:00:21] White flour. After that, there's bargaining.
 

 Speaker2: [00:00:28] Blue corn chips. Blue corn is healthier than yellow corn. Veggies.
 

 Speaker1: [00:00:33] Forth comes depression.
 

 [00:00:40] And finally, we see acceptance. I mean.
 

 Speaker2: [00:00:48] This body is only good for three months anyway, so.
 

 Speaker3: [00:00:53] We invented the egg white chip to help save people from this vicious snacking cycle. One day I realized that these crispy bits of cooked omelette crunched like a chip. Yeah, there's so much healthier than the other options available. With egg whites as their primary ingredient, we were able to create a snack with an incredible macronutrient profile. Huevos have ten grams of protein. Bean chips have four. Cuevas has six grams of fiber. Kale chips have three. And when we say made from egg white, we mean as a type one diabetic. The idea of a snack made for egg whites was particularly appealing to me, because it offered the possibility of having so few carbs that I could avoid doing an insulin injection. We turned that possibility into a reality by developing a few extremely low carb flavors, with only 2 to 3 net carbs per bag, perfect for diabetics and keto dieters. In addition to these stellar macronutrients, our snack is made from all natural, gluten free, lactose free, and soy free ingredients so everyone can join the party. We developed a line of delicious flavors. Our keto flavors are Cuervos Rancheros and sour cream and onion flavor, and our new flavors are barbecue and cheddar flavor. Here's the rub. We can't do this alone. Developing the perfect healthy snack takes time, energy, and resources. That's why we dropped out of college to start this company. That's why we've seized a room in my parents house for order fulfillment. That's why we're living in my parents basement. And that's why we need your help to fund our first large scale production line that includes new packaging and ingredients for our improved version of Cuervos, as well as a few new flavors, which you'll be the very first to try. Help us along our journey to spread Cuervos to all Snackers in need of a better option? Join us!",84.35,7,6,0.21,5,10
101,"video101.mp4
 

 Speaker1: [00:00:09] This pizza is so good. You should have some here. Oh no no no no, I can't have that. Why? You totally can. Like. It's fine. No, I'm allergic to gluten. Gluten? Is that even an allergy?
 

 Speaker2: [00:00:24] Oh, my gosh, this is so good. You really can't have some gluten free.
 

 Speaker3: [00:00:30] Is that the new Beyonce diet?
 

 Speaker1: [00:00:32] Oh, so you can't eat bread?
 

 Speaker2: [00:00:34] Well, what happens if you take a bite? Are you gonna die?
 

 Speaker1: [00:00:37] Cookies. Cakes? Pies.
 

 Speaker3: [00:00:41] I need to lose a few pounds. Maybe I should try that.
 

 Speaker1: [00:00:44] If you kiss somebody who just ate nuts. Like, could you die? Tomatoes.
 

 Speaker2: [00:00:53] I feel really bad because I know you want some corn bread.
 

 Speaker1: [00:00:57] It's bread.
 

 Speaker2: [00:00:58] You have your EpiPen, right? Like you can just take a bite and it'll be fine.
 

 Speaker1: [00:01:03] In, like a factory. Like, how is everything nutty?
 

 Speaker4: [00:01:09] Oh, look, here's a little soap sandwich that you cannot eat it, but.
 

 Speaker2: [00:01:13] You really can't. It's your choice.
 

 Speaker1: [00:01:17] So you can't, like, eat anything.
 

 Speaker5: [00:01:20] Hi, my name is Eli Hansen, and I'm the founder of Keen Protein. I created Keen Protein Bars because I couldn't find a healthy snack or protein bar that didn't have soy or other food allergens in it. You see, a little over a year ago, I was having a lot of stomach pain and food was getting stuck in my throat. Eventually, I saw an allergen specialist. Allergen specialist told me I'm allergic to soy and walnuts, which was surprising because as a kid, I didn't have any food allergies growing up. Once I found out I was allergic to soy, I started looking at everything I was eating and I noticed that soy is in a lot of things we eat. I found it in my chewing gum and I even found it in my vitamin D pills. I took a recipe that a family member had given me. I hadn't thought much about it for protein bars. I tweaked that recipe so that I could come up with a healthy snack that was allergen free. I created the Kenan Protein Bar. We have our Sunflower Bar, which is top eight allergen free.
 

 Speaker5: [00:02:14] It has no dairy, eggs, gluten, soy, peanuts, tree nuts, fish, or shellfish. And I created our almond bar, which is top seven allergen free. It has a single allergen tree nuts, almonds, a peanut butter dark chocolate chip and a peanut butter bars have our top seven allergen free and have a single allergen. So far, the bars have been successful. People love them in order to mass produce them and get them to everybody. We have to go to a co-packer and Co-packer is expensive. In this case, it's even more challenging because we have a bar that's completely allergen free and other bars that have a single origin. We have to avoid cross-contamination and that's a challenge. That's where you come in. We need your help to support our Kickstarter so that we can help bring clean protein bars to the masses so that everyone can stay clean. All right. I'm here in one of the local Salt Lake City area gyms with Michelle. She's going to try the sunflower seed allergen free Keene Protein Bar and give us a reaction.
 

 Speaker6: [00:03:15] Oh, that's really good. I like.
 

 Speaker7: [00:03:17] It. It's sweet. You know, it definitely has some sugar, but not overpowering.
 

 Speaker8: [00:03:21] I like how it incorporates creamy and also crunchy, if that makes sense. It's like an amazing texture.
 

 Speaker7: [00:03:28] Yeah. Pretty good I like.
 

 Speaker6: [00:03:30] It I love it. Yeah. This seems like it's a nice breakfast meal replacement.
 

 Speaker9: [00:03:37] So you made this? Yeah. This is in your kitchen? Yeah, that's pretty good.
 

 Speaker8: [00:03:40] Normally protein bars are kind of gross, but this one, like, actually tastes good.
 

 Speaker1: [00:03:44] It's not too sweet.
 

 Speaker6: [00:03:45] It has good flavor, and it doesn't have that weird protein aftertaste that some bars have.
 

 Speaker7: [00:03:52] You guys should try them. They're really good.
 

 [00:03:55] And it's kind of crunchy. Yeah.
 

 Speaker10: [00:04:01] And that's all I'm going to say.",43.66,7,10,1.34,10,9
102,"video102.mp4
 

 Speaker1: [00:00:16] Hello, everybody. My name is Tommaso and I'm the manager at Next Step Foods, a company pioneer in the future of sustainable food. Like many of you, we at Next Step Foods care about the environment. And this is why we developed our planet friendly bars made with 100% Canadian cricket powder and other healthy ingredients that are wholesome, delicious and sustainable. With your help, we want to launch another bursting with flavours product, the Jump to Crunchy Bites, a great snack to boost your energy and make this planet a better place. Our bites will be 100% natural, like our bars and packed in a compostable pouch. This is our way of contributing to the environment preservation using materials that respect our beautiful home and ingredients that have the lowest possible impact on available resources. They'll come in three flavors cacao, peanut and lemon ginger. All to die for. How can you help? By choosing one of these sustainable items and being an environmental superhero at Next Efforts. We strive for sustainable solutions to everyday challenges. We selected some brands that, like us, are making a difference every single day. So when you use a backpack made out of recycled bottles or wear wooden sunglasses, you will help us help our planet. Don't forget to show off a t shirt that is actually cleaning pollution, or to always have a jerry bottle with you to help with water projects. Small choices make a huge difference sometimes when crunchy bite at a time. Thank you for your help. And remember our planet is the coolest place in the entire universe. Let's take care of it together.",97.44,6,9,1.33,6,9
103,"video103.mp4
 

 Speaker1: [00:00:04] Hi, I'm Wesley Cooper, founder of Neo Bytes, a company on a mission to save the environment through alternative food solutions. Everything we do has an impact on our planet, and that goes all the way down to the foods we eat. Neo bytes was formed as a solution to feed a rapidly increasing population and offer a sustainable alternative to an archaic system that's harming our planet. By 2050, the world's demand for meat products will have more than doubled. In meeting this demand with traditional solutions will not be sustainable long term. On top of that, the world's top five meat and dairy corporations combined produce more greenhouse gases than Exxon, shell or BP. And looking at our food system objectively, we basically chose a handful of animals to get our protein from. It's time we introduced something more sustainable to the mix. We're launching with our Protein Cookie Bites, made up of our sustainable protein flour blend that contains oat flour, cricket powder, and pea protein. Oats and peas are already widely accepted as sustainable alternatives, but crickets have yet to be fully adopted into the Western diet due to their perceived yuck factor. Even though this protein source is extremely nutritious and sustainable, crickets use fractions of resources when compared to meat products. These less water, less land, less feed, and they produce more edible weight, meaning less waste.
 

 Speaker1: [00:01:21] On top of that, they also produce virtually no greenhouse gases or ammonia and can reproduce much faster than large mammals. Crickets are also one of the most high quality alternative protein sources to mainstream staples. They contain all nine essential amino acids, more omega three seconds in beef, more iron than spinach, more calcium than a glass of milk. And they also contain vitamin B12, which is a vital nutrient that's missing from most vegan diets. Not to mention, eating insects is not a new idea. Humans have a long history of eating insects, and even today, people in 80% of countries in the world regularly consume insects as both a staple and a delicacy. We've created a product that's balanced in protein, fats and carbs, is low in sugar and calories, and is jam packed with nutrients. A serving of Neo Bites Protein Cookie Bites packs 11g of protein in only 250 calories. They are free from soy, artificial preservatives, and sweeteners, and they are considered vegan, which means they are entirely plant based except for the cricket powder. Also, they're delicious. But don't take my word for it. Just listen to some of the people who already love Neo Bites.
 

 Speaker2: [00:02:34] Going down really good. I like these. Oh, God.
 

 Speaker3: [00:02:42] That's really good.
 

 Speaker4: [00:02:44] It's good. This stuff is amazing. It tastes like. It tastes like milk bar.
 

 [00:02:52] And why not. Holy water.
 

 Speaker5: [00:02:56] There's actually good at shit.
 

 Speaker1: [00:02:58] With the introduction of both Beyond Meat and Impossible Foods, we've started to see a major shift in the right direction, and growth in consumer adoption of these alternatives is outstanding. We've nailed down a great tasting, sustainable product, put it behind packaging and branding that's edgy and sleek. With all that said, we won't be able to achieve our vision without your help. We're asking for $30,000 to cover initial operating costs. These funds will allow us to commercially produce our first batch of Neo bites that will cover ingredients, our packaging, commercial kitchen rental, storage space, licensing, and other miscellaneous production costs that might come up along the way. We don't think crickets are the solution, but we think they're part of it. And our protein cookie bites are just the beginning. We have exciting innovations and development and we can't wait to share them with you. Thank you. And check us out at Eat Neo Bites com.",68.85,10,10,1.02,7,10
104,"video104.mp4
 

 Speaker1: [00:00:00] The problem. Ice cream? Sure, it tastes great. Everybody loves it. And then you eat it and you feel guilty and ashamed and remorseful and disgusted and fat and bloated. My God, who needs that? Holy cow. Speaking of cows, you got skinny cow and its diet ice cream, but it's full of ingredients that you can't even pronounce. For gosh sakes, you got your monoglycerides, sorbitol, sodium carboxymethyl something or another. I mean, seriously, you want to put that in your body? I don't think so. Then you got pro rich cream bars. This is all natural, non-GMO food ingredients. Does it get any better than that? Well, yes it does, because it also has ten grams of protein, 26 vitamins and minerals, three grams of fiber, and probiotics in every serving. It's sort of like a sports nutrition bar meets ice cream. They hook up and have a baby, and the baby is Courage cream bars. Why don't you check this out? Okay, so you saw the video. Do you get it? Do you have, you know, a good idea of what it is we're doing here? It's amazing. It's innovative. There's no other product on the market like it. So if you backed our project, we want to say thank you very sincerely. If you did not back our project, what do you have rocks in your head. Do you understand? Ten grams of protein 26 vitamins and minerals, three grams of fiber, all non-GMO food ingredients. No weird names.
 

 [00:03:21] No crud like this. Who? God wants to drink that. For Pete's sakes! My gosh, look at this.
 

 Speaker1: [00:03:28] Wow. Great product. 30g of protein. I can't wait to get me some of that. Let's see what we got here. Sodium hexametaphosphate. So what are we left with? Pro rich cream bars. There's nothing like it. Don't miss out on this. We need you. We get all these comments back to Kickstarter. Wow. Great product. I can't believe it. Where can I buy it? When can I get it? How can I get it? You can't get it if you don't back it. I am not the bank of pro rich here. I've worked my butt off trying to get this to you. But it takes a village and I need your help. So stop watching the video now.
 

 [00:04:10] Stop watching me be a crazy person. I need you to get pro rich cream bars. I need you to back the project. Do it, do it, do it, do it! Don't make me have a heart attack. I'm nearly 60 years old. Do you want to be responsible for me having a heart attack and dying? Seriously? You want to come see me at the hospital? Back this project now.",79.09,7,17,0.2,3,8
105,"video105.mp4
 

 [00:00:05] Sucks. It's bad enough.
 

 Speaker1: [00:00:16] I had a dream that one day I would supply beef jerky to the mouths of all my fellow Americans. And I have pushed, and I have pushed this company for what seems to be a fortnight. Reaching and reaching for my American dream. But woe is me. For they have stopped me in my tracks. They say there were rules and regulations that I must follow. And so ended my dream. Until now. Now I have found quite the following. And I want to supply them with the best tasting jerky their mouths have ever tasted. And you can join in too. This Kickstarter Does it help us raise a goal of $4,000.
 

 [00:01:12] To get the licensing and testing we need to be.
 

 Speaker1: [00:01:15] Fully compliant with the FDA's rules and regulations. Then we will be legally able to supply.
 

 [00:01:23] You with our unique flavors and meats in a smoked, jerky form. And for donating, we will reward you.
 

 Speaker1: [00:01:34] By how much you donate. You want the best six months of your life. I'll personally send.
 

 [00:01:40] You one bag of beef jerky per month for six months for $100. If you want the best year of your life, I'll personally send you one bag of beef jerky for 12 months.
 

 Speaker1: [00:01:54] So donate today. And don't let the unholy endeavors of America destroy the American dream. United we stand. And beef jerky for all.",74.02,2,5,1.4,4,6
106,"video106.mp4
 

 Speaker1: [00:00:14] Hi Kickstarter, my name is Kristina and I'm here to talk about jerky, crisp, thin, crispy, and delicious jerky. But first let me introduce you to the founders of Jerky Crisp, ROM and Asa.
 

 Speaker2: [00:00:29] Hi, my name is rom. My passion is making beef jerky. Started a few years ago when a friend of mine started complaining about how hard it is to eat beef jerky, how thick they were, how chewy they were, and especially with a lot of preservatives. So this is when Jerky Crisp comes in. So I'm going to hand you over to Asa and Christina so they can take you to a little tour. Again, thank you for all your support.
 

 Speaker3: [00:00:53] Hi, my name is Asa Sang, and I'm the co-founder of Jerky Crisp. Thank you for watching our video and supporting our campaign. We look forward to more of your feedback and also bringing our product to the general market and to the mass.
 

 Speaker1: [00:01:07] Back in 2007, ROM started making jerkies that are not only out of this world delicious, but are also more convenient and less difficult to eat. Word spread and people were offering to pay for his jerkies. Eventually, large orders began rolling in and trying to keep up with demand without the proper equipment became a nightmare. That's when Rom's friend and co-founder, Asa, convinced him to seek a producer to make his tasty jerkies. He was a collaborative effort of Asa's business expertise and Rom's epic jerky making skills. They formed Jerky Crisp Corporation despite their diligent effort. The business of making jerkies require more funds than they anticipated. And folks, this is the reason why they need your help. So what makes ramen Asses jerky so unique? Well, let me tell you, they are half the thickness of ordinary jerkies with crispy texture and they are made only with the best ingredients. Jerky. Crisp jerky comes in six different flavors. They've got butter mesquite, which you can taste the combination of the butter and the mesquite with other blend of seasonings that will accommodate any palate. Ruby red chili. This flavor is seasoned with red chili and is packed with lots of heat. So if you love dragon heat, spicy and the aroma of red chili, then this is the flavor for you. Zesty green chili. This flavor has a well-balanced amount of spices for just the right amount of kick, so Zesty Green chili is perfect for folks who like it mild. Cracked pepper. This one has a nice balance of musky, earthy aroma and a mild punch of black pepper that will get your taste buds prancing.
 

 Speaker1: [00:02:42] This flavor is great for those who like a subtle combination of spice and aroma. Salt. This is your traditional blend of seasonings with sprinkles of salt to bring out that wholesome beef flavor. So if you appreciate that simple, original taste of beef jerky, then salt is the flavor for you. Last but not least, we've got Jalapeno Crunch. This one is my personal favorite. For those of you who love the jalapeno taste and spiciness like I do, then this is what you've been missing all your life, I tell you. This one is packed with both heat and flavor. Aside from ramen AC's passion for fine quality and delicious jerkies, they are also passionate about giving back. A certain percentage of proceeds will be donated to water for Cambodia. Water for Cambodia is a non-profit organization whose mission is to provide clean drinking water to underdeveloped villages in Cambodia. For more information, please visit water for Cambodia website at water for Cambodia. Org. In future, Prospect Ramen ASA hope to extend their passion of giving back to more non-profit organizations in both our communities and other third world countries. But this hope will only be realized with your help and support through continuous purchase and spreading of the word about jerky Jerkies. Not only will you be enjoying the uniquely delicious jerky, but you will also feel good about it.
 

 Speaker4: [00:04:13] So I'm here trying now to, you know, jerky, crisp. It's really impressed me so far. I'm a big, salty snack eater. I've always got some kind of you know, sunflower seeds or beef jerky in my desk. And so I got an opportunity to try this, and I got to tell you that the stuff's great. A lot of the the beef jerky you find in the store is just dunked in teriyaki sauce or covered in chili peppers. And I think these guys spent some more time putting some thought into their flavors, and they're really genuine. And the texture of this stuff is just off the charts. It's like nothing you ever tasted before.
 

 Speaker5: [00:04:52] Rob, thank you for letting me try your jerky, Chris. It's really amazing. It's really good. I tried your jalapeno jerky. It was really good. Can't wait to try out the rest of your flavor.",79.03,7,12,1.59,6,10
